,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,2020-06-20,20,6,2020,346,2.0,Afghanistan,AF,AFG,38041757,Asia
1,2020-06-19,19,6,2020,658,42.0,Afghanistan,AF,AFG,38041757,Asia
2,2020-06-18,18,6,2020,564,13.0,Afghanistan,AF,AFG,38041757,Asia
3,2020-06-17,17,6,2020,783,13.0,Afghanistan,AF,AFG,38041757,Asia
4,2020-06-16,16,6,2020,761,7.0,Afghanistan,AF,AFG,38041757,Asia
5,2020-06-15,15,6,2020,664,20.0,Afghanistan,AF,AFG,38041757,Asia
6,2020-06-14,14,6,2020,556,5.0,Afghanistan,AF,AFG,38041757,Asia
7,2020-06-13,13,6,2020,656,20.0,Afghanistan,AF,AFG,38041757,Asia
8,2020-06-12,12,6,2020,747,21.0,Afghanistan,AF,AFG,38041757,Asia
9,2020-06-11,11,6,2020,684,21.0,Afghanistan,AF,AFG,38041757,Asia
10,2020-06-10,10,6,2020,542,15.0,Afghanistan,AF,AFG,38041757,Asia
11,2020-06-09,9,6,2020,575,12.0,Afghanistan,AF,AFG,38041757,Asia
12,2020-06-08,8,6,2020,791,30.0,Afghanistan,AF,AFG,38041757,Asia
13,2020-06-07,7,6,2020,582,18.0,Afghanistan,AF,AFG,38041757,Asia
14,2020-06-06,6,6,2020,915,9.0,Afghanistan,AF,AFG,38041757,Asia
15,2020-06-05,5,6,2020,787,6.0,Afghanistan,AF,AFG,38041757,Asia
16,2020-06-04,4,6,2020,758,24.0,Afghanistan,AF,AFG,38041757,Asia
17,2020-06-03,3,6,2020,759,5.0,Afghanistan,AF,AFG,38041757,Asia
18,2020-06-02,2,6,2020,545,8.0,Afghanistan,AF,AFG,38041757,Asia
19,2020-06-01,1,6,2020,680,8.0,Afghanistan,AF,AFG,38041757,Asia
20,2020-05-31,31,5,2020,866,3.0,Afghanistan,AF,AFG,38041757,Asia
21,2020-05-30,30,5,2020,623,11.0,Afghanistan,AF,AFG,38041757,Asia
22,2020-05-29,29,5,2020,580,8.0,Afghanistan,AF,AFG,38041757,Asia
23,2020-05-28,28,5,2020,625,7.0,Afghanistan,AF,AFG,38041757,Asia
24,2020-05-27,27,5,2020,658,1.0,Afghanistan,AF,AFG,38041757,Asia
25,2020-05-26,26,5,2020,591,1.0,Afghanistan,AF,AFG,38041757,Asia
26,2020-05-25,25,5,2020,584,2.0,Afghanistan,AF,AFG,38041757,Asia
27,2020-05-24,24,5,2020,782,11.0,Afghanistan,AF,AFG,38041757,Asia
28,2020-05-23,23,5,2020,540,12.0,Afghanistan,AF,AFG,38041757,Asia
29,2020-05-22,22,5,2020,531,6.0,Afghanistan,AF,AFG,38041757,Asia
30,2020-05-21,21,5,2020,492,9.0,Afghanistan,AF,AFG,38041757,Asia
31,2020-05-20,20,5,2020,581,5.0,Afghanistan,AF,AFG,38041757,Asia
32,2020-05-19,19,5,2020,408,4.0,Afghanistan,AF,AFG,38041757,Asia
33,2020-05-18,18,5,2020,262,1.0,Afghanistan,AF,AFG,38041757,Asia
34,2020-05-17,17,5,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
35,2020-05-16,16,5,2020,1063,32.0,Afghanistan,AF,AFG,38041757,Asia
36,2020-05-15,15,5,2020,113,6.0,Afghanistan,AF,AFG,38041757,Asia
37,2020-05-14,14,5,2020,259,3.0,Afghanistan,AF,AFG,38041757,Asia
38,2020-05-13,13,5,2020,280,5.0,Afghanistan,AF,AFG,38041757,Asia
39,2020-05-12,12,5,2020,285,2.0,Afghanistan,AF,AFG,38041757,Asia
40,2020-05-11,11,5,2020,369,5.0,Afghanistan,AF,AFG,38041757,Asia
41,2020-05-10,10,5,2020,255,6.0,Afghanistan,AF,AFG,38041757,Asia
42,2020-05-09,9,5,2020,215,3.0,Afghanistan,AF,AFG,38041757,Asia
43,2020-05-08,8,5,2020,171,2.0,Afghanistan,AF,AFG,38041757,Asia
44,2020-05-07,7,5,2020,168,9.0,Afghanistan,AF,AFG,38041757,Asia
45,2020-05-06,6,5,2020,330,5.0,Afghanistan,AF,AFG,38041757,Asia
46,2020-05-05,5,5,2020,190,5.0,Afghanistan,AF,AFG,38041757,Asia
47,2020-05-04,4,5,2020,235,13.0,Afghanistan,AF,AFG,38041757,Asia
48,2020-05-03,3,5,2020,134,4.0,Afghanistan,AF,AFG,38041757,Asia
49,2020-05-02,2,5,2020,164,4.0,Afghanistan,AF,AFG,38041757,Asia
50,2020-05-01,1,5,2020,222,4.0,Afghanistan,AF,AFG,38041757,Asia
51,2020-04-30,30,4,2020,122,0.0,Afghanistan,AF,AFG,38041757,Asia
52,2020-04-29,29,4,2020,124,3.0,Afghanistan,AF,AFG,38041757,Asia
53,2020-04-28,28,4,2020,172,0.0,Afghanistan,AF,AFG,38041757,Asia
54,2020-04-27,27,4,2020,68,10.0,Afghanistan,AF,AFG,38041757,Asia
