,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,2020-10-17,17,10,2020,47,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05826455
1,2020-10-16,16,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94785956
2,2020-10-15,15,10,2020,32,1,Afghanistan,AF,AFG,38041757.0,Asia,1.99254729
3,2020-10-14,14,10,2020,66,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94523087
4,2020-10-13,13,10,2020,129,3,Afghanistan,AF,AFG,38041757.0,Asia,1.81116766
5,2020-10-12,12,10,2020,96,4,Afghanistan,AF,AFG,38041757.0,Asia,1.50361089
6,2020-10-11,11,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.25125661
7,2020-10-10,10,10,2020,10,1,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
8,2020-10-09,9,10,2020,77,2,Afghanistan,AF,AFG,38041757.0,Asia,1.33274601
9,2020-10-08,8,10,2020,68,1,Afghanistan,AF,AFG,38041757.0,Asia,1.1723959
10,2020-10-07,7,10,2020,62,2,Afghanistan,AF,AFG,38041757.0,Asia,1.05936222
11,2020-10-06,6,10,2020,145,5,Afghanistan,AF,AFG,38041757.0,Asia,1.08302043
12,2020-10-05,5,10,2020,44,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
13,2020-10-04,4,10,2020,7,4,Afghanistan,AF,AFG,38041757.0,Asia,0.66505866
14,2020-10-03,3,10,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.97524412
15,2020-10-02,2,10,2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.08564912
16,2020-10-01,1,10,2020,14,0,Afghanistan,AF,AFG,38041757.0,Asia,1.04096138
17,2020-09-30,30,9,2020,15,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745
18,2020-09-29,29,9,2020,12,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471
19,2020-09-28,28,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
20,2020-09-27,27,9,2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
21,2020-09-26,26,9,2020,6,2,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
22,2020-09-25,25,9,2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.61401588
23,2020-09-24,24,9,2020,25,5,Afghanistan,AF,AFG,38041757.0,Asia,1.64556017
24,2020-09-23,23,9,2020,71,2,Afghanistan,AF,AFG,38041757.0,Asia,1.64293148
25,2020-09-22,22,9,2020,30,3,Afghanistan,AF,AFG,38041757.0,Asia,1.52464041
26,2020-09-21,21,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.69813397
27,2020-09-20,20,9,2020,125,4,Afghanistan,AF,AFG,38041757.0,Asia,1.89265706
28,2020-09-19,19,9,2020,47,1,Afghanistan,AF,AFG,38041757.0,Asia,1.61664457
29,2020-09-18,18,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.53515517
30,2020-09-17,17,9,2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.65344624
31,2020-09-16,16,9,2020,40,10,Afghanistan,AF,AFG,38041757.0,Asia,1.70864874
32,2020-09-15,15,9,2020,99,6,Afghanistan,AF,AFG,38041757.0,Asia,1.62715933
33,2020-09-14,14,9,2020,75,0,Afghanistan,AF,AFG,38041757.0,Asia,1.45629446
34,2020-09-13,13,9,2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.3090878
35,2020-09-12,12,9,2020,34,0,Afghanistan,AF,AFG,38041757.0,Asia,1.22496971
36,2020-09-11,11,9,2020,28,0,Afghanistan,AF,AFG,38041757.0,Asia,1.16450983
37,2020-09-10,10,9,2020,24,2,Afghanistan,AF,AFG,38041757.0,Asia,1.09879257
38,2020-09-09,9,9,2020,26,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
39,2020-09-08,8,9,2020,96,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471
40,2020-09-07,7,9,2020,74,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745
41,2020-09-06,6,9,2020,20,0,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
42,2020-09-05,5,9,2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.07776305
43,2020-09-04,4,9,2020,45,1,Afghanistan,AF,AFG,38041757.0,Asia,1.13559424
44,2020-09-03,3,9,2020,38,3,Afghanistan,AF,AFG,38041757.0,Asia,1.27228614
45,2020-09-02,2,9,2020,9,0,Afghanistan,AF,AFG,38041757.0,Asia,1.59298636
46,2020-09-01,1,9,2020,34,4,Afghanistan,AF,AFG,38041757.0,Asia,1.56932815
47,2020-08-31,31,8,2020,19,0,Afghanistan,AF,AFG,38041757.0,Asia,1.48783875
48,2020-08-30,30,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
49,2020-08-29,29,8,2020,11,1,Afghanistan,AF,AFG,38041757.0,Asia,1.86374147
50,2020-08-28,28,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.85322671
51,2020-08-27,27,8,2020,55,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05300717
52,2020-08-26,26,8,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967
53,2020-08-25,25,8,2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941
54,2020-08-24,24,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
55,2020-08-23,23,8,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
56,2020-08-22,22,8,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883
57,2020-08-21,21,8,2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644
58,2020-08-20,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
59,2020-08-19,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
60,2020-08-18,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
61,2020-08-17,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
62,2020-08-16,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
63,2020-08-15,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
64,2020-08-14,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185049
65,2020-08-13,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
66,2020-08-12,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
67,2020-08-11,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
68,2020-08-10,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
69,2020-08-09,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
70,2020-08-08,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
71,2020-08-07,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
72,2020-08-06,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
73,2020-08-05,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
74,2020-08-04,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
75,2020-08-03,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
76,2020-08-02,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
77,2020-08-01,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
78,2020-07-31,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
79,2020-07-30,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
80,2020-07-29,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
81,2020-07-28,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
82,2020-07-27,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
83,2020-07-26,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
84,2020-07-25,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
85,2020-07-24,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
86,2020-07-23,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
87,2020-07-22,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
88,2020-07-21,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
89,2020-07-20,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
90,2020-07-19,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
91,2020-07-18,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
92,2020-07-17,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
93,2020-07-16,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
94,2020-07-15,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
95,2020-07-14,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
96,2020-07-13,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
97,2020-07-12,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
98,2020-07-11,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
99,2020-07-10,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
100,2020-07-09,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
101,2020-07-08,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
102,2020-07-07,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
103,2020-07-06,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
104,2020-07-05,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
